nom,prix,product_id,etat,marque
CROSSOVER TOP WITH TIE DETAIL,13.00 EUR,,New with tags,Zara
PRINTED TULLE SKIRT,15.00 EUR,,New with tags,Zara
GATHERED STRETCH DRESS,25.00 EUR,,New with tags,Zara
DRAPED CORSETRY-INSPIRED TOP,15.00 EUR,,New with tags,Zara
TROPICAL PRINT MIDI SKIRT,29.95 EUR,,New with tags,Zara
LINEN BLEND HIGH-WAIST BERMUDA SHORTS,25.00 EUR,,New with tags,Zara
LINEN BLEND HIGH-WAIST BERMUDA SHORTS,25.00 EUR,,New with tags,Zara
LONG PRINTED DRESS,26.00 EUR,,New with tags,Zara
BUCKET BAG WITH FRINGING,12.00 EUR,,New with tags,Zara
BUCKET BAG WITH FRINGING,12.00 EUR,,New with tags,Zara
LEATHER SANDALS,55.00 EUR,,New with tags,Zara
LEATHER SANDALS,55.00 EUR,,New with tags,Zara
LINEN BLEND MIDI SKIRT,25.00 EUR,,New with tags,Zara
KNT TP 08,12.00 EUR,,New with tags,Zara
KNT TP 08,12.00 EUR,,New with tags,Zara
LONG CROCHET WAISTCOAT,25.00 EUR,,New with tags,Zara
CROCHET CUT-OUT DRESS,49.00 EUR,,New with tags,Zara
BUCKET BAG,15.00 EUR,,New with tags,Zara
EMBELLISHED FLAT SLIDER SANDALS,15.00 EUR,,New with tags,Zara
EMBELLISHED FLAT SLIDER SANDALS,15.00 EUR,,New with tags,Zara
EMBELLISHED FLAT SLIDER SANDALS,15.00 EUR,,New with tags,Zara
LONG LINEN BLEND SKIRT,39.00 EUR,,New with tags,Zara
LACE UP WEDGE HEEL SHOES,59.00 EUR,,New with tags,Zara
LACE UP WEDGE HEEL SHOES,59.00 EUR,,New with tags,Zara
RIBBED T-SHIRT,5.00 EUR,,New with tags,Zara
RIBBED T-SHIRT,5.00 EUR,,New with tags,Zara
CHENILLE TROUSERS,10.00 EUR,,New with tags,Zara
MOCK CROC METALLIC LOAFERS,25.00 EUR,,New with tags,Zara
MOCK CROC METALLIC LOAFERS,25.00 EUR,,New with tags,Zara
METALLIC MINAUDIÈRE,39.99 EUR,,New with tags,Zara
BARBIE™ MATTEL JUMPSUIT,30.00 EUR,,New with tags,Zara
SATIN-EFFECT DRESS WITH EMBROIDERY,35.00 EUR,,New with tags,Zara
SATEEN TOP,5.00 EUR,,New with tags,Zara
SATEEN TOP,5.00 EUR,,New with tags,Zara
LEATHER BUCKET BAG WITH COINS,119.00 EUR,,New with tags,Zara
LEATHER BUCKET BAG WITH COINS,119.00 EUR,,New with tags,Zara
PLEATED CAMISOLE DRESS,20.00 EUR,,New with tags,Zara
LACE UP KITTEN HEEL SANDALS,39.00 EUR,,New with tags,Zara
LACE UP KITTEN HEEL SANDALS,39.00 EUR,,New with tags,Zara
LACE UP KITTEN HEEL SANDALS,39.00 EUR,,New with tags,Zara
SUEDE JACKET,110.00 EUR,,New with tags,Zara
SUEDE JACKET,110.00 EUR,,New with tags,Zara
ASYMMETRIC TOP WITH TIES,7.00 EUR,,New with tags,Zara
ASYMMETRIC TOP WITH TIES,7.00 EUR,,New with tags,Zara
SEMI-SHEER WRAP BLOUSE,25.00 EUR,,New with tags,Zara
ZW COLLECTION WIDE-LEG HIGH-WAIST JEANS,32.00 EUR,,New with tags,Zara
CONTRAST DRESS,20.00 EUR,,New with tags,Zara
SANDALI BASSI CON FIBBIA LATERALE,56.00 EUR,,New with tags,Zara
